|                    |F1|F2|F3|F4|F5|F6|F7|F8|F9|ANSWER|
| Individual 42       |49.8921|0.134308|36.088|1.84365|5.67171|205.24|-51.6215|180.44|1.70935|-44.2204|88.4293|
| Individual 43       |45.0915|0.0952243|23.778|2.09204|4.44245|184.808|146.339|118.89|1.99682|-40.649|103.49|
| Individual 44       |45.0492|0.228194|42.8185|1.95971|3.25324|183.45|66.7327|214.093|1.73151|-41.7959|46.3368|
| Individual 45       |34.2319|0.0235168|36.4092|1.87285|9.6032|146.531|0.2214|182.046|1.84933|-24.6287|28.0564|
| Individual 46       |58.9347|0.362482|22.4106|2.03091|6.00098|241.74|45.2612|112.053|1.66842|-52.9337|166.166|
| Individual 47       |54.9806|0.146583|42.4775|2.01084|5.11475|225.037|1.88878|212.388|1.86425|-49.8658|88.283|
| Individual 48       |56.4817|0.0464365|27.0107|1.86801|5.54876|231.476|5.43433|135.054|1.82157|-50.933|141.336|
| Individual 49       |38.1794|0.108469|48.4747|1.99759|5.05643|157.774|272.365|242.374|1.88912|-33.123|2.90438|
| Individual 50       |48.9903|0.0732252|21.9607|2.10926|6.67952|202.641|5.88774|109.803|2.03604|-42.3108|126.578|
| Individual 51       |50.502|0.135975|25.1414|2.08435|6.03164|208.039|226.306|125.707|1.94838|-44.4703|122.873|
| Individual 52       |47.2928|0.0396348|37.3033|2.02824|3.62172|192.793|1.66738|186.516|1.98861|-43.6711|70.9402|
| Individual 53       |41.8682|0.273709|30.8625|1.96047|5.94167|173.414|-61.2983|154.313|1.68676|-35.9265|72.3931|
| Individual 54       |33.2265|0.0243839|35.8232|2.05592|3.72381|136.63|128.245|179.116|2.03153|-29.5026|19.0024|
| Individual 55       |43.7431|0.0482597|33.7929|2.03726|5.01014|179.983|49.8976|168.964|1.989|-38.733|68.659|
| Individual 56       |39.5911|0.0143916|48.3813|1.99432|6.92496|165.289|0.0321016|241.907|1.97993|-32.6661|10.2455|
| Individual 57       |55.4737|0.0712653|45.0302|1.92795|2.72381|224.619|32.4288|225.151|1.85669|-52.7499|80.2448|
| Individual 58       |34.8141|0.00932043|41.1938|1.90685|7.48832|146.745|2.0171|205.969|1.89753|-27.3257|13.6754|
| Individual 59       |51.0489|0.0264757|34.085|2.10932|5.10799|209.303|5.93854|170.425|2.08284|-45.9409|96.6343|
| Individual 60       |50.8286|0.0399849|36.0958|1.94788|4.89567|208.21|205.529|180.479|1.9079|-45.933|90.3831|
| Individual 61       |45.7626|0.202128|24.4517|2.00161|4.78278|187.833|6.08341|122.259|1.79948|-40.9798|105.481|
| Individual 62       |52.9662|0.290498|24.6624|1.93197|5.31294|217.178|162.144|123.312|1.64148|-47.6532|134.983|
| Individual 63       |62.8498|0.00226598|45.7063|2.00926|3.60952|255.009|1.985|228.531|2.007|-59.2403|107.855|
| Individual 64       |44.536|0.0151649|26.6497|1.98997|5.08294|183.227|-43.959|133.248|1.97481|-39.453|93.4038|
| Individual 65       |39.0805|0.143693|22.3197|2.07782|9.50337|165.825|98.3174|111.599|1.93413|-29.5771|89.1955|
| Individual 66       |53.5527|0.0732588|24.8426|1.98743|-5.09552|209.115|61.047|124.213|1.91417|-58.6482|125.017|
| Individual 67       |61.5789|0.109976|36.4621|2.00782|0.628466|246.944|0.114365|182.31|1.89785|-60.9504|128.069|
| Individual 68       |51.1336|0.00321684|35.6619|1.75038|5.35005|209.885|31.6318|178.31|1.74716|-45.7836|94.163|
| Individual 69       |20.7533|0.0802581|38.3333|2.03153|28.8853|111.898|1.85846|191.667|1.95127|8.132|-12.858|
| Individual 70       |48.7159|0.123943|28.2994|1.91293|-5.40801|189.456|4.47284|141.497|1.78899|-54.1239|95.6124|
| Individual 71       |69.2362|0.0268406|37.9243|2.07562|4.37056|281.315|248.661|189.621|2.04878|-64.8657|157.299|
| Individual 72       |53.1695|0.105416|48.0781|2.05445|4.84943|217.527|5.68975|240.39|1.94904|-48.3201|63.548|
| Individual 73       |47.8602|0.0131191|41.0741|1.8336|5.32445|196.765|158.159|205.371|1.82049|-42.5357|64.4402|
| Individual 74       |62.2046|0.040161|37.1955|1.88458|4.91924|253.738|1.7441|185.977|1.84441|-57.2854|132.929|
| Individual 75       |42.6369|0.067696|44.1474|1.86482|5.50657|176.054|-56.5742|220.737|1.79713|-37.1304|34.6266|
| Individual 76       |37.9471|0.105353|21.8043|2.06701|4.67931|156.468|145.045|109.021|1.96166|-33.2678|81.2467|
| Individual 77       |31.0323|0.0187289|20.9421|1.97591|6.18736|130.317|36.7443|104.711|1.95718|-24.845|57.7044|
| Individual 78       |62.7013|0.281127|37.3959|2.06129|5.67753|256.483|0.311022|186.979|1.78016|-57.0238|135.394|
| Individual 79       |53.5373|0.126911|22.1861|2.06073|5.29003|219.439|24.4445|110.93|1.93382|-48.2473|143.212|
| Individual 80       |67.5934|0.16769|43.0808|2.06661|28.5133|298.887|1.94919|215.404|1.89892|-39.0801|160.15|
| Individual 81       |41.6205|0.0473987|40.6273|1.80775|19.2128|185.695|0.16343|203.137|1.76035|-22.4078|55.0111|
| Individual 82       |39.2673|0.158123|22.2053|1.9672|933.913|1090.98|147.141|111.027|1.80908|894.645|1015.32|
| Individual 83       |64.1334|0.270073|24.3859|1.81111|8.36988|264.903|6.15859|121.929|1.54104|-55.7635|184.041|
| Individual 84       |53.31|0.0881104|31.0461|1.99305|5.50474|218.745|122.223|155.23|1.90494|-47.8053|116.082|
| Individual 85       |36.7173|0.538183|32.0822|2.04349|7.3982|154.267|1.63817|160.411|1.5053|-29.3191|50.4941|
| Individual 86       |71.8669|0.160462|30.7302|1.92935|5.4895|292.957|-36.5809|153.651|1.76889|-66.3774|191.922|
| Individual 87       |46.9816|0.109918|29.441|1.99351|4.74602|192.672|65.6162|147.205|1.88359|-42.2356|94.9316|
| Individual 88       |32.7346|0.179365|39.0386|1.96117|5.53299|136.472|55.6796|195.193|1.78181|-27.2017|10.4468|
| Individual 89       |51.2101|0.109653|43.8464|1.91567|6.58246|211.423|0.022284|219.232|1.80601|-44.6276|70.8535|
| Individual 90       |40.6145|0.0467382|22.2155|1.98564|9.02858|171.487|38.8781|111.078|1.9389|-31.5859|95.1457|
| Individual 91       |57.6719|0.0346786|30.7258|1.99072|13.5779|244.266|2.00417|153.629|1.95604|-44.094|142.308|
| Individual 92       |60.2966|0.0110462|45.0013|2.00577|5.0595|246.246|4.28811|225.007|1.99472|-55.2371|101.268|
| Individual 93       |52.7122|0.0216514|35.6922|2.01935|4.43825|215.287|227.006|178.461|1.9977|-48.274|98.2222|
| Individual 94       |62.266|0.0765452|29.7029|1.95744|6.18335|255.247|6.03478|148.514|1.88089|-56.0827|156.734|
| Individual 95       |63.712|0.0124699|45.0913|1.92895|-3.81499|251.033|194.39|225.456|1.91649|-67.527|106.177|
| Individual 96       |35.3743|0.0218377|45.0799|1.99807|3.3289|144.826|1.98188|225.4|1.97623|-32.0454|-0.294674|
| Individual 97       |55.5909|0.205015|23.4682|2.0096|11.9554|234.319|-51.3915|117.341|1.80459|-43.6355|154.891|
| Individual 98       |45.2272|0.03278|25.2926|2.06687|1.71863|182.627|100.463|126.463|2.03409|-43.5085|96.5791|
| Individual 99       |51.7509|0.117419|37.0802|1.95554|5.74181|212.745|49.8585|185.401|1.83812|-46.0091|92.3141|
| Individual 100       |40.803|0.0648081|48.8431|1.89063|4.18574|167.398|0.0647088|244.215|1.82582|-36.6172|11.7393|
| Individual 101       |41.8152|0.322025|37.202|1.84776|-166.71|0.550968|26.0975|186.01|1.52574|-208.525|-118.684|
| Individual 102       |39.6059|0.110535|31.6012|2.04659|5.4085|163.832|2.06845|158.006|1.93606|-34.1974|59.3482|
| Individual 103       |50.1378|0.104434|45.4609|1.83202|7.14198|207.693|5.47834|227.304|1.72759|-42.9958|62.6727|
| Individual 104       |56.044|0.0170971|25.0733|2.00857|4.62754|228.803|204.912|125.366|1.99147|-51.4164|143.626|
| Individual 105       |66.3625|0.0418319|40.9892|2.03642|6.2261|271.676|6.27007|204.946|1.99459|-60.1364|138.736|
| Individual 106       |43.2341|0.14837|33.0178|2.07949|6.10795|179.044|130.488|165.089|1.93112|-37.1262|70.3353|
| Individual 107       |55.0466|0.157398|26.4175|1.94198|4.77161|224.958|2.00374|132.087|1.78458|-50.275|136.783|
| Individual 108       |34.5139|0.0220523|43.7342|1.70467|5.37618|143.432|-44.3802|218.671|1.68262|-29.1377|3.81594|
| Individual 109       |62.5646|0.106314|31.4724|1.92849|4.7243|254.983|116.601|157.362|1.82217|-57.8403|151.455|
| Individual 110       |61.4513|0.0138813|48.2621|1.93432|0.647884|246.453|59.4101|241.31|1.92044|-60.8034|92.0644|
| Individual 111       |46.32|0.185919|44.5195|1.95575|6.94983|192.23|0.0176974|222.598|1.76983|-39.3701|49.822|
| Individual 112       |51.7436|0.149798|38.3617|1.92362|5.41761|212.392|30.9602|191.809|1.77382|-46.326|88.4376|
| Individual 113       |52.9878|0.0143055|23.7809|2.02642|12.7043|224.656|1.85141|118.905|2.01212|-40.2835|143.252|
| Individual 114       |57.5364|0.192577|23.6053|2.08661|5.19161|235.337|12.0753|118.026|1.89403|-52.3448|155.051|
| Individual 115       |39.1295|0.0152195|26.8247|1.99284|5.17041|161.688|249.716|134.123|1.97762|-33.959|71.3261|
| Individual 116       |54.9867|0.0258463|33.4344|2.08116|-18.5662|201.381|5.57193|167.172|2.05531|-73.553|90.8009|
| Individual 117       |35.4479|0.196262|38.284|1.99824|2.9488|144.74|154.801|191.42|1.80197|-32.4991|20.8784|
| Individual 118       |39.8558|0.014817|36.278|2.06321|7.17084|166.594|1.83371|181.39|2.04839|-32.685|47.5182|
| Individual 119       |51.6133|0.0355549|47.3901|2.10317|4.26319|210.716|-47.3347|236.95|2.06762|-47.3501|58.2082|
| Individual 120       |68.4786|0.0631505|32.0466|1.96333|-13.072|260.843|147.666|160.233|1.90018|-81.5506|155.202|
| Individual 121       |45.1137|0.229529|24.1098|2.01249|8.41312|188.868|47.8116|120.549|1.78296|-36.7006|107.624|
| Individual 122       |43.6104|0.128119|38.9882|1.44088|6.90938|181.351|0.0602028|194.941|1.31276|-36.701|57.8227|
| Individual 123       |34.2569|0.0677682|29.5565|1.8531|7.6953|144.723|47.9502|147.782|1.78533|-26.5616|47.1268|
| Individual 124       |38.7345|0.0782688|26.0485|1.97401|2.16722|157.105|1.88978|130.243|1.89574|-36.5673|69.4809|
| Individual 125       |44.3778|0.160172|24.4001|1.97626|0.631267|178.142|4.7058|122.001|1.81609|-43.7465|95.8616|
| Individual 126       |58.9312|0.0403576|42.3222|1.94768|-0.682014|235.043|195.952|211.611|1.90733|-59.6133|98.5396|
| Individual 127       |54.6312|0.0953218|38.4178|1.7592|6.86719|225.392|5.72953|192.089|1.66388|-47.764|101.819|
| Individual 128       |47.1672|0.131071|30.9693|1.81682|8.80361|197.473|239.751|154.847|1.68575|-38.3636|96.1358|
| Individual 129       |37.7766|0.0393431|36.9195|1.97806|5.19155|156.298|1.82957|184.598|1.93872|-32.5851|35.8459|
| Individual 130       |51.2365|0.0136091|21.7804|2.07469|4.52371|209.47|-43.1058|108.902|2.06108|-46.7128|133.823|
| Individual 131       |40.2639|0.0796959|45.3898|2.00703|4.91558|165.971|42.9536|226.949|1.92733|-35.3484|20.1654|
| Individual 132       |45.0359|0.0911195|21.8866|2.08939|6.22619|186.37|50.1884|109.433|1.99827|-38.8098|110.719|
| Individual 133       |42.1953|0.0563566|25.9589|2.02847|3.34182|172.123|0.170134|129.795|1.97211|-38.8535|84.3857|
| Individual 134       |40.7811|0.253749|20.1146|1.87386|3.28797|166.412|33.8673|100.573|1.62011|-37.4931|97.9682|
| Individual 135       |55.099|0.0728737|34.009|1.82279|10.7426|231.139|2.00013|170.045|1.74991|-44.3564|120.362|
| Individual 136       |58.2038|0.0228047|20.4822|1.83457|-0.142658|232.673|4.38589|102.411|1.81176|-58.3465|162.167|
| Individual 137       |53.2624|0.0281693|20.9012|2.06313|-1.66551|211.384|205.14|104.506|2.03496|-54.9279|138.506|
| Individual 138       |57.3488|0.0796081|42.6001|1.87118|7.53563|236.931|6.17054|213.001|1.79157|-49.8132|100.173|
| Individual 139       |49.782|0.341239|29.0417|2.06451|6.00224|205.13|169.337|145.208|1.72327|-43.7798|109.389|
| Individual 140       |54.9861|0.0747181|22.746|2.03399|6.45037|226.395|1.83|113.73|1.95927|-48.5357|148.36|
| Individual 141       |58.121|0.141316|39.3604|1.86205|12.058|244.542|-45.8026|196.802|1.72074|-46.0629|117.857|
| Individual 142       |46.888|0.0183064|49.5629|1.92914|7.03037|194.583|94.3876|247.815|1.91083|-39.8577|36.3396|
| Individual 143       |38.4486|0.038883|39.2413|1.75553|5.25078|159.045|61.4174|196.206|1.71665|-33.1978|32.7382|
| Individual 144       |33.2366|0.107474|20.0499|1.8285|4.85933|137.806|0.121136|100.25|1.72103|-28.3772|69.0507|
| Individual 145       |49.3982|0.018081|23.4933|2.09637|5.82934|203.422|48.6324|117.466|2.07829|-43.5688|122.551|
| Individual 146       |41.5482|0.0796795|45.5495|1.98376|4.682|170.875|1.91587|227.747|1.90408|-36.8662|24.7061|
| Individual 147       |41.9281|0.142586|49.9487|1.94051|3.97146|171.684|-17.0366|249.744|1.79793|-37.9567|12.8483|
| Individual 148       |56.6771|0.0108107|45.9008|2.08023|6.29899|233.007|228.633|229.504|2.06942|-50.3781|84.9577|
| Individual 149       |62.5521|0.3705|44.9201|1.87906|4.09127|254.3|5.86876|224.6|1.50856|-58.4608|111.997|
| Individual 150       |49.0707|0.0214614|37.9084|1.98196|4.15664|200.439|243.162|189.542|1.9605|-44.914|76.9115|
| Individual 151       |46.5109|0.123237|46.5069|2.13688|1408.17|1594.21|1.79474|232.535|2.01364|1361.66|1444.62|
| Individual 152       |58.3191|0.0187809|28.4848|2.07188|8.05507|241.331|-78.4541|142.424|2.0531|-50.264|145.611|
| Individual 153       |60.8944|0.232784|36.451|1.90732|5.91473|249.492|73.762|182.255|1.67454|-54.9796|131.767|
| Individual 154       |44.2925|0.109993|44.5761|1.98027|3.97637|181.146|59.906|222.881|1.87027|-40.3161|38.0664|
| Individual 155       |30.0859|0.142171|32.2025|2.01541|3.19684|123.541|0.13084|161.012|1.87324|-26.8891|17.5668|
| Individual 156       |40.4792|0.308547|47.0691|2.10651|8.44033|170.357|41.4693|235.346|1.79797|-32.0388|20.1598|
| Individual 157       |39.2769|0.158982|38.0602|1.83517|5.23357|162.341|2.01637|190.301|1.67619|-34.0434|39.7798|
| Individual 158       |35.4043|0.0818957|40.9709|1.67112|7.70755|149.325|5.06005|204.854|1.58922|-27.6968|18.4661|
| Individual 159       |34.3937|0.0833997|28.0576|1.86586|4.31261|141.887|244.684|140.288|1.78246|-30.0811|48.8024|
| Individual 160       |55.3366|0.0075645|31.3687|1.96935|5.8076|227.154|6.17994|156.843|1.96179|-49.5291|123.239|
| Individual 161       |38.8937|0.0435604|46.7645|1.95666|4.94392|160.519|207.346|233.822|1.9131|-33.9498|10.6599|
| Individual 162       |39.0254|0.0692818|22.4779|1.8714|7.40612|163.508|1.88553|112.39|1.80212|-31.6193|87.0633|
| Individual 163       |52.3576|0.0179946|27.3628|2.03621|6.0047|215.435|-54.846|136.814|2.01822|-46.3529|123.255|
| Individual 164       |58.8253|0.0433662|32.3663|2.07377|0.434172|235.735|110.849|161.832|2.0304|-58.3911|128.484|
| Individual 165       |78.7512|0.0511697|44.1906|1.7657|5.43311|320.438|47.7384|220.953|1.71453|-73.3181|179.293|
| Individual 166       |44.7852|0.419452|29.9861|1.81304|3.44223|182.583|0.0744414|149.93|1.39359|-41.343|85.6571|
| Individual 167       |58.8917|0.0228348|24.9181|1.88246|4.57406|240.141|21.9558|124.59|1.85962|-54.3176|156.088|
| Individual 168       |47.9374|0.0727883|46.0397|1.9923|4.95828|196.708|1.96837|230.199|1.91951|-42.9791|48.991|
| Individual 169       |46.6631|0.173047|40.5929|1.9991|7.97109|194.624|3.44645|202.965|1.82606|-38.6921|63.7146|
| Individual 170       |42.8165|0.167998|28.8438|1.96499|9.42419|180.69|194.4|144.219|1.79699|-33.3923|85.1737|
| Individual 171       |24.178|0.0623682|39.7419|1.98479|3.27991|99.9918|5.97954|198.71|1.92242|-20.8981|-28.8461|
| Individual 172       |37.0097|0.000519505|21.7759|1.88954|6.02327|154.062|109.779|108.88|1.88902|-30.9864|79.2893|
| Individual 173       |58.99|0.134003|34.1957|2.07679|6.00412|241.964|1.89393|170.979|1.94278|-52.9859|129.663|
| Individual 174       |47.2059|0.070601|45.052|2.10551|5.50441|194.328|-44.292|225.26|2.03491|-41.7015|48.9976|
| Individual 175       |69.7048|0.0504989|43.1185|1.96033|2.80953|281.629|119.063|215.593|1.90983|-66.8952|142.724|
| Individual 176       |41.2395|0.0198949|43.6312|1.80818|4.4548|169.413|57.7581|218.156|1.78828|-36.7847|29.5777|
| Individual 177       |59.3041|0.289698|48.3789|1.94108|4.4031|241.619|0.0579329|241.894|1.65138|-54.901|88.2258|
| Individual 178       |55.0817|0.309337|46.0704|2.02633|8.7695|229.096|44.1995|230.352|1.71699|-46.3123|82.3003|
| Individual 179       |46.1841|0.0517024|30.8617|1.88518|4.38104|189.117|1.88828|154.309|1.83347|-41.803|87.3649|
| Individual 180       |49.1751|0.129085|32.453|1.99375|4.96049|201.661|5.52387|162.265|1.86466|-44.2146|94.9783|
| Individual 181       |54.6211|0.0004211|23.9053|2.00999|5.92051|224.405|236.556|119.527|2.00957|-48.7006|142.641|
| Individual 182       |41.4673|0.0913245|22.2114|1.88478|3.88422|169.753|5.72278|111.057|1.79345|-37.583|94.1519|
| Individual 183       |54.3565|0.317521|42.2143|1.88986|4.4468|221.873|220.997|211.072|1.57233|-49.9097|87.3683|
| Individual 184       |42.8498|0.180695|38.6844|1.9611|3.8309|175.23|1.83035|193.422|1.78041|-39.0189|50.2748|
| Individual 185       |41.2259|0.0532451|23.0677|1.95585|5.95382|170.857|-52.2343|115.339|1.9026|-35.2721|92.1412|
| Individual 186       |57.2531|0.00822313|21.4479|1.96406|6.79823|235.811|94.8062|107.24|1.95584|-50.4549|161.688|
| Individual 187       |71.4216|0.192277|28.3569|2.01565|4.56866|290.255|21.4343|141.785|1.82337|-66.853|196.068|
| Individual 188       |51.2956|0.129204|27.0598|1.89836|4.37547|209.558|0.0958026|135.299|1.76916|-46.9201|119.532|
| Individual 189       |36.6794|0.202411|21.1598|1.96808|7.04536|153.763|20.0264|105.799|1.76567|-29.6341|81.4554|
| Individual 190       |44.9601|0.0162956|47.2012|1.99122|4.40576|184.246|2.02107|236.006|1.97492|-40.5543|32.7678|
| Individual 191       |41.0996|0.0237423|37.4635|1.86248|6.44712|170.846|8.78225|187.318|1.83874|-34.6525|49.2613|
| Individual 192       |46.4456|0.00674519|43.1178|1.92008|4.89676|190.679|94.5193|215.589|1.91334|-41.5488|51.759|
| Individual 193       |48.9957|0.119675|24.6329|1.98548|3.51843|199.501|6.15901|123.165|1.86581|-45.4773|116.274|
| Individual 194       |37.7034|0.00125398|44.1648|1.98505|0.871984|151.686|100.132|220.824|1.98379|-36.8315|9.27237|
| Individual 195       |48.5035|0.130362|35.3248|1.96509|1.3528|195.367|1.92527|176.624|1.83473|-47.1507|80.2189|
| Individual 196       |41.2143|0.00335124|42.7272|1.94929|5.56016|170.417|-12.652|213.636|1.94593|-35.6542|32.5063|
| Individual 197       |62.8042|0.00352849|25.1519|2.0881|4.36579|255.583|24.8139|125.759|2.08458|-58.4385|169.704|
| Individual 198       |59.6183|0.0582303|21.7714|2.00265|5.77009|244.243|59.1513|108.857|1.94442|-53.8482|169.207|
| Individual 199       |45.1953|0.116748|31.0106|1.84443|4.33515|185.117|0.176439|155.053|1.72768|-40.8602|83.4463|
| Individual 200       |67.0537|0.0797802|41.2046|2.01962|3.67072|271.885|22.4521|206.023|1.93984|-63.3829|138.572|
| Individual 201       |52.9698|0.048159|25.5307|1.92047|3.62575|215.505|1.99945|127.654|1.87231|-49.344|129.551|
| Individual 202       |36.6878|0.0266588|35.8307|1.93066|3.36366|150.115|5.79368|179.153|1.904|-33.3241|33.1027|
| Individual 203       |49.5958|0.0908166|44.628|1.77864|5.46554|203.849|242.399|223.14|1.68783|-44.1302|61.5255|
| Individual 204       |44.9198|0.152406|43.9215|1.70071|2.62438|182.304|6.17478|219.607|1.5483|-42.2955|42.7978|
| Individual 205       |47.1557|0.0373949|29.6186|2.04211|3.91517|192.538|112.261|148.093|2.00472|-43.2405|93.6586|
| Individual 206       |46.1205|0.0109924|46.5143|1.99652|4.59756|189.08|1.82301|232.572|1.98553|-41.523|39.609|
| Individual 207       |42.1861|0.0473147|44.1139|2.00343|5.20077|173.945|-53.3576|220.569|1.95611|-36.9853|31.823|
| Individual 208       |32.8226|0.0288612|24.7656|2.01822|5.23007|136.52|165.928|123.828|1.98936|-27.5925|52.2768|
| Individual 209       |59.3559|0.0205644|27.1357|1.88043|6.88004|244.303|54.9117|135.679|1.85987|-52.4758|153.597|
| Individual 210       |55.5039|0.154289|39.5372|1.87525|6.04621|228.062|0.0492369|197.686|1.72096|-49.4577|100.845|
| Individual 211       |52.0812|0.00245923|34.5117|2.10112|4.62387|212.948|48.4264|172.558|2.09866|-47.4573|98.9201|
| Individual 212       |47.4756|0.0255886|44.5384|1.98069|5.64818|195.551|1.90936|222.692|1.9551|-41.8274|52.1599|
| Individual 213       |53.0251|0.224097|28.3843|1.93424|3.56017|215.661|6.24048|141.921|1.71014|-49.465|121.957|
| Individual 214       |30.9667|0.0341476|29.6223|2.00661|4.78939|128.656|225.887|148.112|1.97247|-26.1773|29.9267|
| Individual 215       |59.0342|0.158482|29.2258|1.92606|5.1881|241.325|5.77731|146.129|1.76758|-53.8461|144.81|
| Individual 216       |50.7299|0.0783565|38.3709|2.11358|2.92955|205.849|242.132|191.855|2.03523|-47.8004|80.5604|
| Individual 217       |35.9768|0.0212335|25.1504|2.07926|7.99381|151.901|1.86012|125.752|2.05802|-27.983|66.1596|
| Individual 218       |55.5471|0.173875|37.1279|1.81472|5.35699|227.545|-48.6712|185.639|1.64084|-50.1901|107.958|
| Individual 219       |44.4021|0.136302|39.7909|1.97244|5.61621|183.225|71.3075|198.954|1.83613|-38.7859|54.6714|
| Individual 220       |46.6775|0.319211|25.2258|1.97446|1.80737|188.517|42.957|126.129|1.65525|-44.8701|104.564|
| Individual 221       |33.0113|0.135923|30.3767|2.0977|5.32336|137.369|0.00113807|151.884|1.96177|-27.6879|36.4295|
